Call ID,Scenario Name,Expected Outcome,Actual Transcript,Extracted Name,Extracted Service,Extracted Time,n8n Webhook & DB Status,Overall Status (Pass/Fail/Warning),AI Suggestions & Improvements,Counsel Suggestions
7899098,Scenario 1: Booking - English - Cooperative - Text_Whatsapp,Handle booking multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: I want to book an appointment. 
 LLM: Sure, appointment book cheddam. Ee service kosam book cheyali? 
 
 user: It is for full detailing. 
 LLM: *Full detailing* starts at *₹3,499*. Booking kosam *date and preferred time* cheppandi. 
 
 user: Can we do tomorrow? 
 LLM: Avunu, tomorrow *17 Sep* slots *9:00 AM - 4:30 PM* madhya available untayi. Meeku ye time slot kavali? 
 
 user: At 2 PM if possible. 
 LLM: Tomorrow *17 Sep, 2:00 PM* slot kosam check chestunnam. Booking complete cheyadaniki mee *full name* mariyu *10-digit WhatsApp number* share cheyandi. 
 
 user: My name is Priya. 
 LLM: Thanks, Priya. Mee *10-digit WhatsApp number* share cheyandi. 
 
 user: And my phone number is 9206744077. 
 LLM: Your *full detailing* appointment is confirmed for *17 Sep, 2:00 PM*. Details will be sent to your WhatsApp. Inkemaina help kavala? 
 
 user: Please confirm the booking. 
 LLM: Mee *full detailing* appointment *17 Sep, 2:00 PM* ki confirm ayyindi. Details mee WhatsApp ki pampistaru. Inkemaina help kavala? 
 
 user: thanks 
 LLM: Thank you! Have a great day!",Priya,full detailing,"17 Sep, 2:00 PM",[FAILED] 'Priya' missing from Google Sheet,,,
7899111,Scenario 2: Booking - English - Cooperative - Voice_High_Acc,Handle booking multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: I want to book an appointment 
 LLM: Sure, appointment book cheddam. E service kosam book cheyamantaru? 
 
 user: It is for interior cleaning 
 LLM: *Interior cleaning* price *₹799*. Which date and time would you like to book? Appointment slots are available from *9:00 AM to 4:30 PM*. 
 
 user: Can we do tomorrow 
 LLM: Avunu, *tomorrow* slots *9:00 AM–4:30 PM* madhya available untayi. Meeku ye *time* kavali? 
 
 user: At 2 PM if possible 
 LLM: *2:00 PM* tomorrow request note chesanu. Booking complete cheyadaniki mee *full name* and *10-digit WhatsApp number* share cheyandi. 
 
 user: My name is Mia 
 LLM: Thanks, Mia. Please share your *10-digit WhatsApp number* so I can complete the booking. 
 
 user: And my phone number is 9608156012 
 LLM: Your WhatsApp number is *96081 56012*, correct? 
 
 user: Please confirm the booking 
 LLM: I need your confirmation that *96081 56012* is correct before I complete the booking. Please reply *yes*. 
 
 user: thank you 
 LLM: You're welcome! Should I proceed with the *interior cleaning* booking for *tomorrow at 2:00 PM*?",Mia,Interior cleaning,Tomorrow at 2 PM,[FAILED] 'Mia' missing from Google Sheet,,,
7899126,Scenario 3: Booking - English - Cooperative - Voice_Low_Acc,Handle booking multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: I want to an appointment 
 LLM: Sure, appointment book cheddam. Mee car ki ye service kavali? 
 
 user: It is for cleaning 
 LLM: Interior cleaning kosama, exterior wash kosama, leka full detailing package kosama? 
 
 user: Can do tomorrow 
 LLM: Avunu, repu September 17 na slots 9:00 AM nunchi 4:30 PM varaku available untayi. Meeku ye time slot kavali? 
 
 user: At PM if possible 
 LLM: Repu September 17 na afternoon 2:00 PM leka 4:30 PM slots available unnayi. Meeku ye slot book cheyamantaru? 
 
 user: name is Michael 
 LLM: Okay Michael garu. Mee cleaning ki 2:00 PM leka 4:30 PM — ye slot confirm cheyamantaru? 
 
 user: And my phone is 9578023154 
 LLM: Michael garu, mee WhatsApp number *95780 23154*, correct aa? 
 
 user: Please confirm booking 
 LLM: Michael garu, booking complete cheyadaniki 2:00 PM or 4:30 PM lo okati select cheppandi. 
 
 user: thank you 
 LLM: Thank you, Michael garu. Repu *September 17*, *9:00 AM to 4:30 PM* madhya cleaning appointment book cheyyadaniki, *2:00 PM* leka *4:30 PM* lo okati select cheppandi.",Michael,cleaning,2:00 PM or 4:30 PM,[FAILED] 'Michael' missing from Google Sheet,,,
7899136,Scenario 4: Booking - English - Angry - Text_Whatsapp,Handle booking multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: I want to book an appointment. 
 LLM: Sure, go ahead. Which service would you like to book—exterior wash, interior cleaning, ceramic coating, PPF, headlight restoration, or full detailing? 
 
 user: It is for exterior wash. I want this fixed NOW! 
 LLM: I understand you're frustrated. I’ve flagged this for our manager, who will contact you shortly about your exterior wash appointment. 
 
 user: Can we do tomorrow? 
 LLM: Yes, tomorrow’s appointments are available between 9:00 AM and 4:30 PM. Which time would you prefer? 
 
 user: At 2 PM if possible. 
 LLM: Your exterior wash appointment can be scheduled for tomorrow, 17 Sep, at 2:00 PM. Please share your full name and 10-digit WhatsApp number to confirm the booking. 
 
 user: My name is Sophia. 
 LLM: Thanks, Sophia. Please share your 10-digit WhatsApp number to confirm the appointment. 
 
 user: And my phone number is 9536796144. 
 LLM: Your *exterior wash* appointment for *Sophia* is confirmed for *17 Sep, 2:00 PM*. Details will be sent to WhatsApp. Inkemaina help kavala? 
 
 user: Please confirm the booking. 
 LLM: Your *exterior wash* appointment is confirmed under *Sophia* for *17 Sep at 2:00 PM*. Details will be sent to WhatsApp. Inkemaina help kavala?",Sophia,exterior wash,17 Sep at 2:00 PM,[FAILED] 'Sophia' missing from Google Sheet,,,
7899144,Scenario 5: Booking - English - Angry - Voice_High_Acc,Handle booking multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: I want to book an appointment 
 LLM: Sure. Mee appointment ki ye service book cheyamantaru? 
 
 user: It is for full detailing I want this fixed NOW 
 LLM: I understand, and I’m sorry this is urgent. Full detailing starts at *₹3,499*; please share your preferred date, time between *9:00 AM and 4:30 PM*, and *10-digit WhatsApp number* so I can help arrange it. 
 
 user: Can we do tomorrow 
 LLM: Avunu, tomorrow slots *9:00 AM nunchi 4:30 PM* varaku available untayi. Mee preferred time enti? 
 
 user: At 2 PM if possible 
 LLM: Tomorrow, *17 Sep 2026 at 2:00 PM* is within our bookable hours. Please share the booking name and your *10-digit WhatsApp number* to confirm the full detailing appointment. 
 
 user: My name is Emma 
 LLM: Thanks, Emma. Please share your *10-digit WhatsApp number* so I can confirm your full detailing appointment for *17 Sep 2026 at 2:00 PM*. 
 
 user: And my phone number is 9167579474 
 LLM: Your *full detailing* appointment is confirmed for *17 Sep 2026 at 2:00 PM*. Details will be sent to WhatsApp number *91675 79474*. Inkemaina help kavala? 
 
 user: Please confirm the booking 
 LLM: Yes, Emma — your *full detailing* booking is confirmed for *17 Sep 2026 at 2:00 PM*. Details will be sent to WhatsApp number *91675 79474*.",Emma,full detailing,17 Sep 2026 at 2:00 PM,[FAILED] 'Emma' missing from Google Sheet,,,
7899163,Scenario 6: Booking - English - Angry - Voice_Low_Acc,Handle booking multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: I want to book appointment 
 LLM: Sure, appointment book cheddam. Ee service kosam book cheyali? 
 
 user: It is for full detailing I want this fixed 
 LLM: Full detailing appointment book cheddam. Full detailing *₹3,499* nunchi start avutundi. Mee preferred date and time cheppandi. 
 
 user: Can we tomorrow 
 LLM: Avunu, tomorrow slots *9:00 AM nunchi 4:30 PM* varaku available. Tomorrow ye time ki book cheyamantaru? 
 
 user: At PM if possible 
 LLM: Tomorrow *September 17*, full detailing ki *9:00 AM–4:30 PM* madhya exact time cheppandi. 
 
 user: My name is 
 LLM: Mee peru cheppandi, full detailing appointment ki. 
 
 user: And my phone is 9947616839 
 LLM: Mee WhatsApp number *99476 16839* correct aa? Inka mee peru cheppandi. 
 
 user: Please the booking 
 LLM: Booking complete cheyadaniki mee name mariyu exact time kavali. Tomorrow *September 17*, *9:00 AM–4:30 PM* madhya ye time ki book cheyamantaru?",,Full detailing,"Tomorrow, September 17, at PM",N/A (No Name Expected),,,
7899174,Scenario 7: Booking - English - Troll - Text_Whatsapp,Handle booking multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: I want to book an appointment. 
 LLM: Sure, appointment book cheddam. *E service* kosam book cheyali? 
 
 user: It is for ceramic coating. LOL just kidding. 
 LLM: Haha, okay! Appointment book cheyyakapothe, inka emaina help kavala?",Not provided,ceramic coating,Not provided,[FAILED] 'Not provided' missing from Google Sheet,,,
7899203,Scenario 8: Booking - English - Troll - Voice_High_Acc,Handle booking multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: I want to book an appointment 
 LLM: Sure, appointment book cheddam. Ee service kosam book cheyali? 
 
 user: It is for exterior wash LOL just kidding 
 LLM: Haha, okay! Which service would you actually like to book?",Not provided,exterior wash,Not provided,[FAILED] 'Not provided' missing from Google Sheet,,,
7899247,Scenario 9: Booking - English - Troll - Voice_Low_Acc,Handle booking multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: I want to book appointment 
 LLM: Sure. Ye service book cheyamantaru? 
 
 user: It is for PPF LOL just 
 LLM: *PPF* appointment book cheddam. Ee roju *9:00 AM–4:30 PM* madhya ye time kavali?",,PPF,,N/A (No Name Expected),,,
7899433,Scenario 10: Booking - English - Elderly - Text_Whatsapp,Handle booking multi-turn flow adhering to guardrails.,"user:  
 LLM: Hello.. DynamicDetailing Studio nunchi Siri matladutunna. Ela help cheyagalanu andi? 
 
 user: I want to book an appointment. 
 LLM: Sure. Mee appointment ki *ye service* book cheyamantaru? 
 
 user: It is for ceramic coating. Please speak slowly, I don't understand technology. 
 LLM: Sure, simple ga cheptanu. *Ceramic coating* appointment book cheyadaniki, meeru ye *date and time* ki ravali? 
 
 user: Can we do tomorrow? 
 LLM: Avunu, *tomorrow, September 17* slots *9:00 AM nunchi 4:30 PM* varaku available untayi. Meeku ye time kavali? 
 
 user: At 2 PM if possible. 
 LLM: *Ceramic coating* appointment ni *September 17, 2:00 PM* ki lock chestunnanu. Mee *full name* cheppandi. 
 
 user: My name is Matthew. 
 LLM: Matthew garu, mee *10-digit WhatsApp number* cheppandi. 
 
 user: And my phone number is 9292196876. 
 LLM: Mee WhatsApp number *92921 96876*, correct aa? 
 
 user: Please confirm the booking. 
 LLM: Booking confirm cheyadaniki, mee WhatsApp number *92921 96876* correct ani confirm chestara?",Matthew,ceramic coating,"September 17, 2:00 PM",[FAILED] 'Matthew' missing from Google Sheet,,,
